record_id,filename,extension,entropy,risk_score,verdict,threats,breach_ids,sanitize_actions_taken,outcome,learning_signal
TRN-001,employee_export_2024.csv,.csv,4.21,88,FAIL,SSN_PATTERN|EMAIL_PATTERN|SALARY_DATA,BD-002|BD-005|BD-015,quarantine,QUARANTINED,1.0
TRN-002,app_config_prod.env,.env,5.82,100,FAIL,DATABASE_CONNECTION_STRING|API_KEY|PLAINTEXT_PASSWORD,BD-007|BD-008|BD-023,quarantine,QUARANTINED,1.0
TRN-003,public_pricing.json,.json,3.12,0,PASS,,,,PASSED_CLEAN,0.0
TRN-004,patient_records_hl7.xml,.xml,4.55,97,FAIL,PHI_DETECTED|MRN_PATTERN|ICD_CODE|DOB_FOUND,BD-003|BD-016|BD-017,quarantine,QUARANTINED,1.0
TRN-005,photo_upload_unstripped.jpg,.jpg,7.81,58,WARN,EXIF_GPS_FOUND|DEVICE_INFO_EMBEDDED,BD-034,strip_metadata,SANITIZED_PASSED,0.6
TRN-006,malware_dropper.pdf,.pdf,7.95,100,FAIL,HIGH_ENTROPY_PAYLOAD|PE_HEADER_EMBEDDED|JAVASCRIPT_IN_PDF,BD-030,quarantine,QUARANTINED,1.0
TRN-007,synthetic_users_test.csv,.csv,3.98,0,PASS,,,,PASSED_CLEAN,0.0
TRN-008,network_config_backup.conf,.conf,4.88,82,FAIL,INTERNAL_IP_RANGE|FIREWALL_RULES|VPN_PSK,BD-020|BD-021|BD-022,quarantine,QUARANTINED,1.0
TRN-009,firmware_update_v2.bin,.bin,7.99,100,FAIL,FIRMWARE_BINARY|UNSIGNED_PAYLOAD|BOOTLOADER_DETECTED,BD-029,quarantine,QUARANTINED,1.0
TRN-010,credit_card_orders_q3.csv,.csv,4.32,100,FAIL,CREDIT_CARD_PAN|CVV_DETECTED|PCI_DSS_VIOLATION,BD-012|BD-013,quarantine,QUARANTINED,1.0
TRN-011,classified_brief_TS_SCI.pdf,.pdf,5.11,100,FAIL,CLASSIFIED_MARKING|TOP_SECRET_SCI|NOFORN,BD-026|BD-027,quarantine,QUARANTINED,1.0
TRN-012,aes_encrypted_bundle.enc,.enc,7.99,0,PASS,,,,PASSED_CLEAN,0.0
TRN-013,macro_invoice_malicious.xlsm,.xlsm,6.55,85,FAIL,MACRO_VBA_DETECTED|AUTO_OPEN_MACRO|SHELL_CALL_IN_MACRO,BD-031,quarantine,QUARANTINED,0.92
TRN-014,scada_topology_export.xml,.xml,3.88,98,FAIL,SCADA_TOPOLOGY|PLC_ADDRESSES|MODBUS_CONFIG|ICS_IDENTIFIERS,BD-028,quarantine,QUARANTINED,1.0
TRN-015,app_metrics_perf.log,.log,3.21,2,PASS,,,,PASSED_CLEAN,0.0
