Manifest_ID,Container_ID,Origin,Destination,Cargo_Type,Escort_Unit,Departure_UTC,Latitude,Longitude,Seal_Status
MAN-3559657,CTR-302908,Basra,Jalalabad,comms,FOB Kilo,2026-03-26T0912:00Z,30.499105,47.768433,INTACT
MAN-5270194,CTR-433797,Fallujah,Mosul,battery_cells,SIGINT Unit 4,2026-02-27T1325:00Z,33.359313,43.793627,RESEALED
MAN-7518093,CTR-955402,Mosul,Basra,spare_parts,FOB Kilo,2026-03-15T1152:00Z,36.339391,43.147511,RESEALED
MAN-1862007,CTR-450913,Mosul,Jalalabad,battery_cells,Delta Force,2026-04-15T1059:00Z,36.335140,43.146658,VERIFIED
MAN-6205037,CTR-586683,Jalalabad,Kabul,comms,2nd Battalion,2026-03-18T1027:00Z,34.424984,70.432028,RESEALED
MAN-6304337,CTR-646001,Mosul,Erbil,battery_cells,2nd Battalion,2026-03-29T0324:00Z,36.339205,43.137344,RESEALED
MAN-1868707,CTR-729242,Erbil,Kabul,battery_cells,2nd Battalion,2026-03-31T1509:00Z,36.174457,44.016006,RESEALED
MAN-6998058,CTR-252034,Kabul,Kandahar,spare_parts,Forward Recon Group,2026-01-21T1448:00Z,34.513465,69.183506,VERIFIED
MAN-7543261,CTR-978523,Kabul,Kandahar,battery_cells,Delta Force,2026-02-02T1130:00Z,34.518670,69.174775,RESEALED
MAN-9467417,CTR-702261,Basra,Kabul,rations,SIGINT Unit 4,2026-02-28T0653:00Z,30.492010,47.764343,INTACT
MAN-8039903,CTR-929693,Jalalabad,Fallujah,battery_cells,2nd Battalion,2026-03-02T0622:00Z,34.435838,70.433878,INTACT
MAN-8783402,CTR-831436,Jalalabad,Fallujah,battery_cells,2nd Battalion,2026-02-13T1456:00Z,34.415539,70.457909,RESEALED
MAN-5834497,CTR-885043,Erbil,Mosul,rations,2nd Battalion,2026-03-26T1200:00Z,36.170839,44.014279,RESEALED
MAN-6422031,CTR-136053,Jalalabad,Basra,medical,SIGINT Unit 4,2026-03-29T0230:00Z,34.430864,70.430665,INTACT
MAN-6620101,CTR-286506,Erbil,Kabul,medical,SIGINT Unit 4,2026-04-07T2119:00Z,36.201186,43.996981,VERIFIED
MAN-1191219,CTR-242582,Mosul,Basra,rations,2nd Battalion,2026-02-04T0322:00Z,36.351904,43.117911,VERIFIED
MAN-6964419,CTR-668584,Jalalabad,Kandahar,battery_cells,7th Brigade,2026-04-05T0617:00Z,34.420750,70.458829,RESEALED
MAN-2789108,CTR-338744,Kandahar,Jalalabad,encrypted_media,FOB Kilo,2026-04-21T0159:00Z,31.623323,65.753909,INTACT
